do_location_id,zone,borough,trip_count,avg_distance_mi,total_distance_mi,avg_fare,total_fare,fare_median
215,South Jamaica,Queens,8380,4.659777088305489,39048.932,22.34785202863962,187275.0,20.79
158,Meatpacking/West Village West,Manhattan,8317,20.483956955633037,170365.06999999998,97.4352013947337,810368.5700000002,85.0
232,Two Bridges/Seward Park,Manhattan,8256,18.6459132751938,153940.66,75.09145348837207,619955.0399999998,70.0
129,Jackson Heights,Queens,8158,12.641021206177982,103125.45099999997,51.457038489825926,419786.5199999999,50.53
223,Steinway,Queens,7998,13.744007626906726,109924.57299999999,54.48042135533882,435734.40999999986,53.17
14,Bay Ridge,Brooklyn,7855,20.81529548058561,163504.14599999998,75.55385614258435,593475.54,75.7
75,East Harlem South,Manhattan,7839,18.669195560658245,146347.824,71.52058553386911,560649.87,70.0
226,Sunnyside,Queens,7738,14.298170974411992,110639.24699999999,56.743069268544836,439077.86999999994,55.74
151,Manhattan Valley,Manhattan,7601,20.229802131298513,153766.726,77.53019471122221,589307.01,70.0
42,Central Harlem North,Manhattan,7567,18.470334082199027,139765.01800000004,68.0833051407427,515186.37,70.0
258,Woodhaven,Queens,7442,5.970566917495296,44432.958999999995,26.970634238108037,200715.46000000002,27.86
224,Stuy Town/Peter Cooper Village,Manhattan,7212,18.171305740432615,131051.45700000002,72.807219911259,525085.6699999999,70.0
40,Carroll Gardens,Brooklyn,7175,22.792637351916365,163537.17299999992,90.20944529616723,647252.7699999999,88.23
146,Long Island City/Queens Plaza,Queens,7075,15.330889187279151,108466.041,63.508956890459366,449325.87,61.1
38,Cambria Heights,Queens,7040,7.338332528409089,51661.86099999999,31.374132102272732,220873.89000000004,30.86
56,Corona,Queens,6922,9.363606038717137,64814.881000000016,36.9201386882404,255561.20000000004,35.49
114,Greenwich Village South,Manhattan,6793,18.9818329162373,128943.59099999997,83.93036802590902,570138.99,70.26
72,East Flatbush/Remsen Village,Brooklyn,6707,9.667760250484568,64841.668,39.98335619502011,268168.3699999999,41.32
244,Washington Heights South,Manhattan,6610,20.765528139183058,137260.141,73.67338124054464,486981.05000000005,70.0
86,Far Rockaway,Queens,6608,8.79686138014528,58129.66000000001,38.2491661622276,252750.49000000002,37.73
155,Marine Park/Mill Basin,Brooklyn,6539,12.128949533567821,79311.20099999999,46.98235051231072,307217.5899999998,45.0
91,Flatlands,Brooklyn,6391,11.978765138475984,76556.28800000002,45.89885150993583,293339.5599999999,45.0
66,DUMBO/Vinegar Hill,Brooklyn,6255,19.27902254196643,120590.28600000002,85.53262190247801,535006.5499999999,78.6
63,Cypress Hills,Brooklyn,6213,6.44827136648962,40063.11000000001,27.601157250925485,171485.99000000005,27.93
179,Old Astoria,Queens,6170,14.6475131280389,90375.15600000002,57.222975688816845,353065.75999999995,56.2
209,Seaport,Manhattan,6169,21.379893013454364,131892.55999999997,93.69594747933213,578010.2999999999,83.42
180,Ozone Park,Queens,6033,4.369619426487652,26361.914,19.84886457815349,119748.2,19.94
191,Queens Village,Queens,5833,9.347313046459798,54522.877,37.45967598148465,218502.28999999998,36.6
196,Rego Park,Queens,5784,9.590767634854771,55473.0,40.50805497925308,234298.58999999982,38.7
177,Ocean Hill,Brooklyn,5729,8.844714609879562,50671.37000000001,39.711768196893,227508.72,39.4
88,Financial District South,Manhattan,5651,22.42264767297824,126710.38200000003,90.12226508582552,509280.92,81.79
35,Brownsville,Brooklyn,5606,8.607300214056368,48252.524999999994,36.19837852301105,202928.10999999996,36.6
165,Midwood,Brooklyn,5577,15.093180921642462,84174.67000000001,60.40537206383362,336880.76000000007,59.16
4,Alphabet City,Manhattan,5413,18.550854239793093,100415.774,73.4026140772215,397328.35,70.0
71,East Flatbush/Farragut,Brooklyn,5323,11.64133026488822,61966.80099999999,47.59422506105579,253344.05999999994,46.27
243,Washington Heights North,Manhattan,5309,21.468105104539458,113974.16999999998,75.90329252213222,402970.57999999996,70.0
74,East Harlem North,Manhattan,5117,17.6596025014657,90364.18599999999,65.93084619894469,337368.13999999996,70.0
70,East Elmhurst,Queens,5052,11.564853919239905,58425.642,50.76518606492478,256465.71999999997,46.83
116,Hamilton Heights,Manhattan,4935,19.685036271529885,97145.65399999998,71.40120364741641,352364.93999999994,70.0
157,Maspeth,Queens,4742,11.72540320539857,55601.862000000016,46.873724167018096,222275.1999999998,44.3
257,Windsor Terrace,Brooklyn,4524,21.50179619805482,97274.126,81.64211096374886,369348.90999999986,80.13
135,Kew Gardens Hills,Queens,4410,7.401358956916101,32639.993000000006,34.34815646258504,151475.37000000002,32.4
228,Sunset Park West,Brooklyn,4384,23.160375228102186,101535.08499999998,83.56198677007298,366335.74999999994,84.52
210,Sheepshead Bay,Brooklyn,4303,13.717888682314662,59028.07499999999,49.53846386242157,213164.01000000004,49.47
85,Erasmus,Brooklyn,4226,13.05337860861335,55163.578000000016,53.74340747752012,227119.64000000004,53.28
260,Woodside,Queens,4219,13.810567196018015,58266.783,53.55720549893339,225957.84999999998,52.28
106,Gowanus,Brooklyn,4031,20.089736045646244,80981.72600000001,81.25009675018607,327519.1400000001,78.53
52,Cobble Hill,Brooklyn,4000,22.116418,88465.67199999999,90.48791750000001,361951.67000000004,88.4
77,East New York/Pennsylvania Avenue,Brooklyn,3927,7.171243188184363,28161.471999999994,30.33381207028265,119120.87999999998,30.4
43,Central Park,Manhattan,3875,18.168291870967746,70402.13100000001,93.22633032258064,361252.02999999997,71.52
123,Homecrest,Brooklyn,3803,15.681239810675788,59635.75500000002,60.2377912174599,229084.32,59.7
26,Borough Park,Brooklyn,3714,19.993909531502418,74257.37999999998,78.84592891760904,292833.77999999997,77.41
102,Glendale,Queens,3667,8.576638123806925,31450.531999999992,38.48804199618216,141135.65,38.0
22,Bensonhurst West,Brooklyn,3638,18.1032473886751,65859.61400000002,64.12085486531059,233271.66999999993,63.13
16,Bayside,Queens,3592,14.229118040089086,51110.992,54.03563752783963,194096.00999999995,52.7
160,Middle Village,Queens,3564,10.323681537598205,36793.601,45.914377104377095,163638.83999999997,44.3
149,Madison,Brooklyn,3538,14.393996042962128,50925.958000000006,55.373555681175816,195911.64000000004,54.91
